manufacturer,item_number,scale,power_method,epoch,description,details,delivery_date,availability,count,is_dummy,category,subcategory,railway,type_name,series,road_number,control,dcc_interface,length,livery,depot,couplers,flywheel_fitted,chassis,body_shell,interior_lights,lights,sprung_buffers,minimum_radius,service_level
Rivarossi/Hornby,HR4324,H0,DC,IIIb,"FS, set di 4 carrozze “Treno Azzurro”, composto da 2 carrozze di 1a classe tipo 1946 Az13010 e 2 carrozze di 2a classe tipo 1946 Bz33010, una con scompartimento ristoro, ep. IIIb",,2023,ANNOUNCED,4,false,PASSENGER_CAR,,FS,Tipo 1946,Az13010,,,,263,Treno Azzurro,,NEM_362,NOT_APPLICABLE,,PLASTIC,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,360,FIRST_CLASS
Rivarossi/Hornby,HR4324,,,,,,,,,false,PASSENGER_CAR,,FS,Tipo 1946,Az13010,,,,263,Treno Azzurro,,NEM_362,NOT_APPLICABLE,,PLASTIC,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,360,FIRST_CLASS
Rivarossi/Hornby,HR4324,,,,,,,,,false,PASSENGER_CAR,,FS,Tipo 1946,Bz33010,,,,263,Treno Azzurro,,NEM_362,NOT_APPLICABLE,,PLASTIC,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,360,SECOND_CLASS
Rivarossi/Hornby,HR4324,,,,,,,,,false,PASSENGER_CAR,,FS,Tipo 1946,Bz33010,,,,263,Treno Azzurro,,NEM_362,NOT_APPLICABLE,,PLASTIC,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,360,SECOND_CLASS

